user_id,age,sex,user_lv_cd,user_reg_dt
54,-1,2,1,2016/1/26
79,36-45Ыъ,2,2,2016/1/27
100,16-25Ыъ,2,3,2016/1/27
266,15ЫъвдЯТ,2,2,2016/1/29
333,-1,2,4,2016/1/30
605,26-35Ыъ,2,2,2016/2/1
638,26-35Ыъ,0,5,2010/8/12
686,-1,2,1,2016/2/1
692,16-25Ыъ,2,2,2016/2/1
819,26-35Ыъ,2,3,2016/2/2
861,36-45Ыъ,2,3,2016/2/2
1204,-1,2,1,2016/2/7
1331,-1,2,1,2016/2/8
1334,26-35Ыъ,2,2,2016/2/8
1394,36-45Ыъ,2,2,2016/2/9
1422,26-35Ыъ,2,3,2016/2/10
1442,-1,0,5,2010/8/16
1598,-1,2,1,2016/2/12
1665,36-45Ыъ,2,2,2016/2/13
1847,-1,2,1,2016/2/14
1892,-1,2,1,2016/2/14
1988,16-25Ыъ,1,3,2016/2/15
2002,26-35Ыъ,0,4,2013/4/23
2048,26-35Ыъ,2,4,2016/2/16
2072,36-45Ыъ,0,3,2016/2/16
2078,36-45Ыъ,2,2,2016/2/16
2079,-1,2,1,2016/2/16
2189,26-35Ыъ,2,3,2016/2/17
2231,26-35Ыъ,0,5,2013/4/24
2276,36-45Ыъ,1,5,2010/8/17
2290,36-45Ыъ,2,3,2016/2/18
2364,36-45Ыъ,2,2,2016/2/18
2401,36-45Ыъ,2,4,2013/4/25
2410,36-45Ыъ,2,3,2016/2/19
2420,16-25Ыъ,2,2,2016/2/19
2452,26-35Ыъ,0,4,2013/4/25
2515,-1,2,2,2016/2/20
2597,-1,2,1,2016/2/21
2612,26-35Ыъ,2,5,2013/4/26
2615,-1,2,1,2016/2/22
2668,36-45Ыъ,2,4,2016/2/22
2676,36-45Ыъ,0,3,2016/2/22
2921,26-35Ыъ,2,4,2013/4/29
2942,36-45Ыъ,2,2,2016/2/26
2963,26-35Ыъ,2,3,2013/4/29
2973,26-35Ыъ,1,4,2016/2/26
2984,36-45Ыъ,2,3,2016/2/26
3002,36-45Ыъ,2,3,2016/2/26
3010,-1,2,1,2016/2/26
